reporting_month,kpi_code,kpi_name,domain,kpi_value,status,previous_month_value,month_on_month_change,trend_direction,warning_boundary,critical_boundary,threshold_gap,threshold_breach,consecutive_warning_months,consecutive_critical_months,deterioration_streak_months,anomaly_method,anomaly_score,anomaly_flag,alert_priority,alert_title,alert_explanation,recommended_management_attention,evidence_source,data_quality_status,analytical_limitation
2024-09-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,69.2,Normal,71.69,-2.49,Improving,85.0,90.0,15.8,None,0,0,0,Rolling six-month z-score,,Not Available,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 69.2. Status is Normal. Month-on-month decreased by 2.49.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-09-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.89,Normal,32.93,-0.04,Stable,50.0,60.0,17.11,None,0,0,0,Rolling six-month z-score,,Not Available,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 32.89 Minutes. Status is Normal. Month-on-month decreased by 0.04.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-09-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.28,Normal,1.51,-0.23,Improving,2.0,2.5,0.72,None,0,0,0,Rolling six-month z-score,,Not Available,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.28. Status is Normal. Month-on-month decreased by 0.23.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-09-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.13,Normal,93.96,0.17,Improving,75.0,70.0,19.13,None,0,0,0,Rolling six-month z-score,,Not Available,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 94.13. Status is Normal. Month-on-month increased by 0.17.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-09-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.5,Normal,2.76,0.74,Worsening,7.5,9.5,4.0,None,0,0,1,Rolling six-month z-score,,Not Available,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.5. Status is Normal. Month-on-month increased by 0.74.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-09-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.5,Normal,97.24,-0.74,Worsening,92.0,90.0,4.5,None,0,0,1,Rolling six-month z-score,,Not Available,None,Staffing Level Within Normal Range,Staffing Level is 96.5. Status is Normal. Month-on-month decreased by 0.74.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-10-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,70.95,Normal,69.2,1.75,Worsening,85.0,90.0,14.05,None,0,0,1,Rolling six-month z-score,,Not Available,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 70.95. Status is Normal. Month-on-month increased by 1.75.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-10-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.11,Normal,32.89,0.22,Worsening,50.0,60.0,16.89,None,0,0,1,Rolling six-month z-score,,Not Available,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 33.11 Minutes. Status is Normal. Month-on-month increased by 0.22.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-10-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.13,Normal,1.28,-0.15,Improving,2.0,2.5,0.87,None,0,0,0,Rolling six-month z-score,,Not Available,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.13. Status is Normal. Month-on-month decreased by 0.15.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-10-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.88,Normal,94.13,-0.25,Worsening,75.0,70.0,18.88,None,0,0,1,Rolling six-month z-score,,Not Available,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 93.88. Status is Normal. Month-on-month decreased by 0.25.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-10-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,2.98,Normal,3.5,-0.52,Improving,7.5,9.5,4.52,None,0,0,0,Rolling six-month z-score,,Not Available,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 2.98. Status is Normal. Month-on-month decreased by 0.52.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-10-01,WF_STAFF_LEVEL,Staffing Level,Workforce,97.02,Normal,96.5,0.52,Improving,92.0,90.0,5.02,None,0,0,0,Rolling six-month z-score,,Not Available,None,Staffing Level Within Normal Range,Staffing Level is 97.02. Status is Normal. Month-on-month increased by 0.52.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-11-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,71.36,Normal,70.95,0.41,Worsening,85.0,90.0,13.64,None,0,0,2,Rolling six-month z-score,,Not Available,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 71.36. Status is Normal. Month-on-month increased by 0.41. Deterioration has continued for 2 consecutive months.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-11-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.14,Normal,33.11,0.03,Stable,50.0,60.0,16.86,None,0,0,0,Rolling six-month z-score,,Not Available,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 33.14 Minutes. Status is Normal. Month-on-month increased by 0.03.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-11-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.34,Normal,1.13,0.21,Worsening,2.0,2.5,0.66,None,0,0,1,Rolling six-month z-score,,Not Available,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.34. Status is Normal. Month-on-month increased by 0.21.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-11-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.55,Normal,93.88,0.67,Improving,75.0,70.0,19.55,None,0,0,0,Rolling six-month z-score,,Not Available,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 94.55. Status is Normal. Month-on-month increased by 0.67.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-11-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.37,Normal,2.98,0.39,Worsening,7.5,9.5,4.13,None,0,0,1,Rolling six-month z-score,,Not Available,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.37. Status is Normal. Month-on-month increased by 0.39.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-11-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.63,Normal,97.02,-0.39,Worsening,92.0,90.0,4.63,None,0,0,1,Rolling six-month z-score,,Not Available,None,Staffing Level Within Normal Range,Staffing Level is 96.63. Status is Normal. Month-on-month decreased by 0.39.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-12-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,72.6,Normal,71.36,1.24,Worsening,85.0,90.0,12.4,None,0,0,3,Rolling six-month z-score,,Not Available,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 72.6. Status is Normal. Month-on-month increased by 1.24. Deterioration has continued for 3 consecutive months.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-12-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.92,Normal,33.14,-0.22,Improving,50.0,60.0,17.08,None,0,0,0,Rolling six-month z-score,,Not Available,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 32.92 Minutes. Status is Normal. Month-on-month decreased by 0.22.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-12-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.53,Normal,1.34,0.19,Worsening,2.0,2.5,0.47,None,0,0,2,Rolling six-month z-score,,Not Available,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.53. Status is Normal. Month-on-month increased by 0.19. Deterioration has continued for 2 consecutive months.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-12-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.36,Normal,94.55,-0.19,Worsening,75.0,70.0,19.36,None,0,0,1,Rolling six-month z-score,,Not Available,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 94.36. Status is Normal. Month-on-month decreased by 0.19.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-12-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.44,Normal,3.37,0.07,Stable,7.5,9.5,4.06,None,0,0,0,Rolling six-month z-score,,Not Available,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.44. Status is Normal. Month-on-month increased by 0.07.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-12-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.56,Normal,96.63,-0.07,Stable,92.0,90.0,4.56,None,0,0,0,Rolling six-month z-score,,Not Available,None,Staffing Level Within Normal Range,Staffing Level is 96.56. Status is Normal. Month-on-month decreased by 0.07.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-01-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,66.45,Normal,72.6,-6.15,Improving,85.0,90.0,18.55,None,0,0,0,Rolling six-month z-score,-4.0,Strong Anomaly,Low,Bed Occupancy Rate Shows Statistical Anomaly,Bed Occupancy Rate is 66.45. Status is Normal. Month-on-month decreased by 6.15. A strong statistical anomaly is detected (z-score = -4.0).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-01-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.05,Normal,32.92,0.13,Worsening,50.0,60.0,16.95,None,0,0,1,Rolling six-month z-score,0.28,Normal,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 33.05 Minutes. Status is Normal. Month-on-month increased by 0.13.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-01-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,0.81,Normal,1.53,-0.72,Improving,2.0,2.5,1.19,None,0,0,0,Rolling six-month z-score,-2.97,Strong Anomaly,Low,Patient Complaint Rate Shows Statistical Anomaly,Patient Complaint Rate is 0.81. Status is Normal. Month-on-month decreased by 0.72. A strong statistical anomaly is detected (z-score = -2.97).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-01-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.98,Normal,94.36,0.62,Improving,75.0,70.0,19.98,None,0,0,0,Rolling six-month z-score,3.26,Strong Anomaly,Low,Patient Satisfaction Score Shows Statistical Anomaly,Patient Satisfaction Score is 94.98. Status is Normal. Month-on-month increased by 0.62. A strong statistical anomaly is detected (z-score = 3.26).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-01-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.4,Normal,3.44,-0.04,Stable,7.5,9.5,4.1,None,0,0,0,Rolling six-month z-score,0.61,Normal,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.4. Status is Normal. Month-on-month decreased by 0.04.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-01-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.6,Normal,96.56,0.04,Stable,92.0,90.0,4.6,None,0,0,0,Rolling six-month z-score,-0.61,Normal,None,Staffing Level Within Normal Range,Staffing Level is 96.6. Status is Normal. Month-on-month increased by 0.04.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-02-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,63.82,Normal,66.45,-2.63,Improving,85.0,90.0,21.18,None,0,0,0,Rolling six-month z-score,-3.23,Strong Anomaly,Low,Bed Occupancy Rate Shows Statistical Anomaly,Bed Occupancy Rate is 63.82. Status is Normal. Month-on-month decreased by 2.63. A strong statistical anomaly is detected (z-score = -3.23).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
