reporting_month,workforce_staffing_value,workforce_staffing_status,workforce_absence_value,workforce_absence_status,operations_bed_occupancy_value,operations_bed_occupancy_status,operations_wait_time_value,operations_wait_time_status,patient_complaint_rate_value,patient_complaint_rate_status,patient_satisfaction_value,patient_satisfaction_status,workforce_domain_score,operations_domain_score,patient_experience_domain_score,workforce_domain_level,operations_domain_level,patient_experience_domain_level,active_warning_kpi_count,active_critical_kpi_count,worsening_kpi_count,strong_anomaly_kpi_count,connected_domain_count,signal_pattern_code,signal_pattern_name,cross_domain_risk_score,cross_domain_risk_level,expected_signal_chain,management_interpretation,recommended_management_attention,evidence_kpis,evidence_source,data_quality_status,analytical_limitation
2025-05-01,96.66,Normal,3.34,Normal,72.66,Normal,32.94,Normal,1.42,Normal,93.89,Normal,0,0,0,Normal,Normal,Normal,0,0,2,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,5.0,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-06-01,96.74,Normal,3.26,Normal,70.83,Normal,33.09,Normal,1.01,Normal,93.74,Normal,0,0,0,Normal,Normal,Normal,0,0,2,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,5.0,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-07-01,96.6,Normal,3.4,Normal,65.0,Normal,33.01,Normal,1.45,Normal,93.85,Normal,0,0,0,Normal,Normal,Normal,0,0,3,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,7.5,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-08-01,96.87,Normal,3.13,Normal,69.16,Normal,32.91,Normal,1.3,Normal,94.48,Normal,0,0,0,Normal,Normal,Normal,0,0,1,2,0,PATTERN_STABLE,Stable or Isolated Normal Variation,5.83,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-09-01,96.71,Normal,3.29,Normal,74.57,Normal,33.05,Normal,1.13,Normal,94.34,Normal,0,0,0,Normal,Normal,Normal,0,0,5,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,12.5,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-10-01,95.88,Normal,4.12,Normal,77.58,Normal,38.03,Normal,1.1,Normal,90.32,Normal,0,0,0,Normal,Normal,Normal,0,0,5,5,0,PATTERN_STABLE,Stable or Isolated Normal Variation,20.83,Moderate,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-11-01,95.5,Normal,4.5,Normal,79.39,Normal,37.93,Normal,1.49,Normal,90.17,Normal,0,0,0,Normal,Normal,Normal,0,0,5,4,0,PATTERN_STABLE,Stable or Isolated Normal Variation,19.17,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-12-01,95.19,Normal,4.81,Normal,78.67,Normal,38.06,Normal,1.49,Normal,89.84,Normal,0,0,0,Normal,Normal,Normal,0,0,4,2,0,PATTERN_STABLE,Stable or Isolated Normal Variation,13.33,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2026-01-01,93.57,Normal,6.43,Normal,81.83,Normal,42.08,Normal,1.22,Normal,84.72,Normal,0,0,0,Normal,Normal,Normal,0,0,5,4,0,PATTERN_STABLE,Stable or Isolated Normal Variation,19.17,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2026-02-01,93.24,Normal,6.76,Normal,81.35,Normal,45.4,Normal,2.8,Critical,79.38,Normal,0,0,2,Normal,Normal,High,0,1,5,5,1,PATTERN_PATIENT_ONLY,Patient Experience Pressure,33.83,Moderate,"Patient Experience indicators show pressure, while other domains remain within normal ranges.",Patient Experience require attention. Patient Complaint Rate is Critical. This is an isolated domain signal; monitor for cross-domain spread.,Review complaint themes and patient-experience signals.,PX_COMPLAINT_RATE=Critical,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2026-03-01,90.39,Warning,9.61,Critical,83.24,Normal,55.16,Warning,2.35,Warning,67.93,Critical,3,1,3,Critical,Watch,Critical,3,2,5,4,3,PATTERN_ALL_DOMAINS,Connected Workforce-to-Patient Deterioration,69.17,Critical,"Lower staffing coverage and higher absence coincide with operational pressure and worsening patient-experience indicators. This is a plausible connected pattern, not proof of causation.",Workforce; Operations; Patient Experience require attention. Average Patient Waiting Time is Warning; Patient Complaint Rate is Warning; Patient Satisfaction Score is Critical; Staff Absenteeism Rate is Critical; Staffing Level is Warning. The simultaneous pattern supports management escalation and scenario testing.,Escalate for cross-functional management review. Run both approved scenarios.,OP_WAIT_TIME=Warning; PX_COMPLAINT_RATE=Warning; PX_SATISFACTION=Critical; WF_ABSENCE_RATE=Critical; WF_STAFF_LEVEL=Warning,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2026-04-01,91.49,Warning,8.51,Warning,84.52,Normal,55.52,Warning,2.02,Warning,68.96,Critical,2,1,3,High,Watch,Critical,4,1,2,2,3,PATTERN_ALL_DOMAINS,Connected Workforce-to-Patient Deterioration,53.33,High,"Lower staffing coverage and higher absence coincide with operational pressure and worsening patient-experience indicators. This is a plausible connected pattern, not proof of causation.",Workforce; Operations; Patient Experience require attention. Average Patient Waiting Time is Warning; Patient Complaint Rate is Warning; Patient Satisfaction Score is Critical; Staff Absenteeism Rate is Warning; Staffing Level is Warning. The simultaneous pattern supports management escalation and scenario testing.,Escalate for cross-functional management review. Run both approved scenarios.,OP_WAIT_TIME=Warning; PX_COMPLAINT_RATE=Warning; PX_SATISFACTION=Critical; WF_ABSENCE_RATE=Warning; WF_STAFF_LEVEL=Warning,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2026-05-01,90.72,Warning,9.28,Warning,85.55,Warning,55.77,Warning,2.21,Warning,68.55,Critical,2,2,3,High,High,Critical,5,1,6,0,3,PATTERN_ALL_DOMAINS,Connected Workforce-to-Patient Deterioration,65.0,Critical,"Lower staffing coverage and higher absence coincide with operational pressure and worsening patient-experience indicators. This is a plausible connected pattern, not proof of causation.",Workforce; Operations; Patient Experience require attention. Bed Occupancy Rate is Warning; Average Patient Waiting Time is Warning; Patient Complaint Rate is Warning; Patient Satisfaction Score is Critical; Staff Absenteeism Rate is Warning; Staffing Level is Warning. The simultaneous pattern supports management escalation and scenario testing.,Escalate for cross-functional management review. Run both approved scenarios.,OP_BED_OCCUPANCY=Warning; OP_WAIT_TIME=Warning; PX_COMPLAINT_RATE=Warning; PX_SATISFACTION=Critical; WF_ABSENCE_RATE=Warning; WF_STAFF_LEVEL=Warning,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2026-06-01,90.17,Warning,9.83,Critical,84.72,Normal,58.72,Warning,2.24,Warning,67.58,Critical,3,1,3,Critical,Watch,Critical,3,2,5,0,3,PATTERN_ALL_DOMAINS,Connected Workforce-to-Patient Deterioration,62.5,High,"Lower staffing coverage and higher absence coincide with operational pressure and worsening patient-experience indicators. This is a plausible connected pattern, not proof of causation.",Workforce; Operations; Patient Experience require attention. Average Patient Waiting Time is Warning; Patient Complaint Rate is Warning; Patient Satisfaction Score is Critical; Staff Absenteeism Rate is Critical; Staffing Level is Warning. The simultaneous pattern supports management escalation and scenario testing.,Escalate for cross-functional management review. Run both approved scenarios.,OP_WAIT_TIME=Warning; PX_COMPLAINT_RATE=Warning; PX_SATISFACTION=Critical; WF_ABSENCE_RATE=Critical; WF_STAFF_LEVEL=Warning,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
