reporting_month,kpi_code,kpi_name,domain,kpi_value,unit,direction,target_value,warning_threshold,critical_threshold,status,threshold_gap,previous_month_value,month_on_month_change,trend_direction,record_count,numerator_value,denominator_value,data_quality_status,data_quality_note,source_files,calculation_note
2024-08-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,2.76,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.74,3.36,-0.6,Improving,5727,158,5727,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2024-08-01,WF_STAFF_LEVEL,Staffing Level,Workforce,97.24,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,5.24,96.64,0.6,Improving,5727,5569,5727,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2024-09-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,69.2,Percent (%),range_is_better,85.0,85.0,90.0,Normal,15.8,71.69,-2.49,Improving,120,4113,5944,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2024-09-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.89,Minutes,lower_is_better,45.0,50.0,60.0,Normal,17.11,32.93,-0.04,Stable,12139,399289,12139,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2024-09-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.28,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.72,1.51,-0.23,Improving,30,20,15678,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2024-09-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.13,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,19.13,93.96,0.17,Improving,2486,2340,2486,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2024-09-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.5,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.0,2.76,0.74,Worsening,5547,194,5547,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2024-09-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.5,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.5,97.24,-0.74,Worsening,5547,5353,5547,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2024-10-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,70.95,Percent (%),range_is_better,85.0,85.0,90.0,Normal,14.05,69.2,1.75,Worsening,124,4339,6116,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2024-10-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.11,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.89,32.89,0.22,Worsening,13149,435387,13149,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2024-10-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.13,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.87,1.28,-0.15,Improving,38,19,16810,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2024-10-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.88,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,18.88,94.13,-0.25,Worsening,2795,2624,2795,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2024-10-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,2.98,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.52,3.5,-0.52,Improving,5734,171,5734,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2024-10-01,WF_STAFF_LEVEL,Staffing Level,Workforce,97.02,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,5.02,96.5,0.52,Improving,5734,5563,5734,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2024-11-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,71.36,Percent (%),range_is_better,85.0,85.0,90.0,Normal,13.64,70.95,0.41,Worsening,120,4238,5939,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2024-11-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.14,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.86,33.11,0.03,Stable,12249,405883,12249,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2024-11-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.34,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.66,1.13,0.21,Worsening,34,21,15676,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2024-11-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.55,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,19.55,93.88,0.67,Improving,2533,2395,2533,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2024-11-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.37,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.13,2.98,0.39,Worsening,5541,187,5541,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2024-11-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.63,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.63,97.02,-0.39,Worsening,5541,5354,5541,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2024-12-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,72.6,Percent (%),range_is_better,85.0,85.0,90.0,Normal,12.4,71.36,1.24,Worsening,124,4441,6117,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2024-12-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.92,Minutes,lower_is_better,45.0,50.0,60.0,Normal,17.08,33.14,-0.22,Improving,12274,404089,12274,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2024-12-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.53,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.47,1.34,0.19,Worsening,39,24,15709,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2024-12-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.36,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,19.36,94.55,-0.19,Worsening,2519,2377,2519,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2024-12-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.44,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.06,3.37,0.07,Stable,5733,197,5733,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2024-12-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.56,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.56,96.63,-0.07,Stable,5733,5536,5733,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-01-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,66.45,Percent (%),range_is_better,85.0,85.0,90.0,Normal,18.55,72.6,-6.15,Improving,124,4064,6116,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-01-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.05,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.95,32.92,0.13,Worsening,12549,414797,12549,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-01-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,0.81,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,1.19,1.53,-0.72,Improving,30,13,16010,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-01-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.98,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,19.98,94.36,0.62,Improving,2552,2424,2552,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-01-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.4,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.1,3.44,-0.04,Stable,5734,195,5734,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-01-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.6,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.6,96.56,0.04,Stable,5734,5539,5734,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-02-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,63.82,Percent (%),range_is_better,85.0,85.0,90.0,Normal,21.18,66.45,-2.63,Improving,112,3530,5531,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-02-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.02,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.98,33.05,-0.03,Stable,10778,355860,10778,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-02-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.45,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.55,0.81,0.64,Worsening,41,20,13762,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-02-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.17,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,19.17,94.98,-0.81,Worsening,2281,2148,2281,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-02-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.19,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.31,3.4,-0.21,Improving,5176,165,5176,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-02-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.81,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.81,96.6,0.21,Improving,5176,5011,5176,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-03-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,61.11,Percent (%),range_is_better,85.0,85.0,90.0,Normal,23.89,63.82,-2.71,Improving,124,3744,6127,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-03-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.06,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.94,33.02,0.04,Stable,11617,384080,11617,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-03-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.48,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.52,1.45,0.03,Worsening,38,22,14913,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-03-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.88,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,18.88,94.17,-0.29,Worsening,2434,2285,2434,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-03-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,2.85,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.65,3.19,-0.34,Improving,5726,163,5726,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-03-01,WF_STAFF_LEVEL,Staffing Level,Workforce,97.15,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,5.15,96.81,0.34,Improving,5726,5563,5726,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-04-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,70.35,Percent (%),range_is_better,85.0,85.0,90.0,Normal,14.65,61.11,9.24,Worsening,120,4171,5929,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-04-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.1,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.9,33.06,0.04,Stable,11460,379376,11460,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-04-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.44,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.56,1.48,-0.04,Improving,38,21,14568,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-04-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.21,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,19.21,93.88,0.33,Improving,2367,2230,2367,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-04-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.26,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.24,2.85,0.41,Worsening,5548,181,5548,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-04-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.74,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.74,97.15,-0.41,Worsening,5548,5367,5548,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-05-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,72.66,Percent (%),range_is_better,85.0,85.0,90.0,Normal,12.34,70.35,2.31,Worsening,124,4444,6116,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-05-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.94,Minutes,lower_is_better,45.0,50.0,60.0,Normal,17.06,33.1,-0.16,Improving,11520,379476,11520,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-05-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.42,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.58,1.44,-0.02,Improving,33,21,14780,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-05-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.89,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,18.89,94.21,-0.32,Worsening,2358,2214,2358,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-05-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.34,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.16,3.26,0.08,Stable,5727,191,5727,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-05-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.66,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.66,96.74,-0.08,Stable,5727,5536,5727,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-06-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,70.83,Percent (%),range_is_better,85.0,85.0,90.0,Normal,14.17,72.66,-1.83,Improving,120,4203,5934,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-06-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.09,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.91,32.94,0.15,Worsening,11504,380619,11504,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-06-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.01,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.99,1.42,-0.41,Improving,22,15,14783,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-06-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.74,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,18.74,93.89,-0.15,Worsening,2350,2203,2350,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-06-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.26,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.24,3.34,-0.08,Stable,5547,181,5547,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-06-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.74,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.74,96.66,0.08,Stable,5547,5366,5547,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-07-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,65.0,Percent (%),range_is_better,85.0,85.0,90.0,Normal,20.0,70.83,-5.83,Improving,124,3983,6128,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-07-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.01,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.99,33.09,-0.08,Stable,12384,408762,12384,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-07-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.45,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.55,1.01,0.44,Worsening,35,23,15815,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-07-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.85,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,18.85,93.74,0.11,Improving,2617,2456,2617,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-07-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.4,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.1,3.26,0.14,Worsening,5734,195,5734,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-07-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.6,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.6,96.74,-0.14,Worsening,5734,5539,5734,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-08-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,69.16,Percent (%),range_is_better,85.0,85.0,90.0,Normal,15.84,65.0,4.16,Worsening,124,4242,6134,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-08-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.91,Minutes,lower_is_better,45.0,50.0,60.0,Normal,17.09,33.01,-0.1,Improving,12592,414420,12592,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-08-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.3,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.7,1.45,-0.15,Improving,30,21,16131,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-08-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.48,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,19.48,93.85,0.63,Improving,2572,2430,2572,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-08-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.13,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.37,3.4,-0.27,Improving,5720,179,5720,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-08-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.87,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.87,96.6,0.27,Improving,5720,5541,5720,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-09-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,74.57,Percent (%),range_is_better,85.0,85.0,90.0,Normal,10.43,69.16,5.41,Worsening,120,4420,5927,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-09-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.05,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.95,32.91,0.14,Worsening,12475,412347,12475,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-09-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.13,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.87,1.3,-0.17,Improving,26,18,15984,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-09-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.34,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,19.34,94.48,-0.14,Worsening,2613,2465,2613,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
