bed_record_id,hospital_id,hospital_name,record_date,ward,licensed_beds,blocked_beds,usable_beds,opening_occupied_beds,admissions,transfers_in,discharges,transfers_out,deaths_or_other_exits,closing_occupied_beds,occupancy_rate_pct,occupancy_status,source_system,synthetic_flag
BED000033,KPJ_01,JCORP Specialist Hospital,2024-07-09,Medical Ward,60,1,59,47,5,1,5,1,0,47,79.66,Normal,Bed Management System,True
BED000034,KPJ_01,JCORP Specialist Hospital,2024-07-09,Surgical Ward,55,1,54,42,5,1,5,0,1,42,77.78,Normal,Bed Management System,True
BED000035,KPJ_01,JCORP Specialist Hospital,2024-07-09,Maternity Ward,45,1,44,31,3,1,3,0,0,32,72.73,Underutilised,Bed Management System,True
BED000036,KPJ_01,JCORP Specialist Hospital,2024-07-09,Paediatric Ward,40,1,39,27,3,0,3,0,0,27,69.23,Underutilised,Bed Management System,True
BED000037,KPJ_01,JCORP Specialist Hospital,2024-07-10,Medical Ward,60,0,60,47,6,1,6,1,0,47,78.33,Normal,Bed Management System,True
BED000038,KPJ_01,JCORP Specialist Hospital,2024-07-10,Surgical Ward,55,1,54,42,6,1,5,1,1,42,77.78,Normal,Bed Management System,True
BED000039,KPJ_01,JCORP Specialist Hospital,2024-07-10,Maternity Ward,45,0,45,32,4,0,4,0,0,32,71.11,Underutilised,Bed Management System,True
BED000040,KPJ_01,JCORP Specialist Hospital,2024-07-10,Paediatric Ward,40,1,39,27,3,0,3,0,0,27,69.23,Underutilised,Bed Management System,True
BED000041,KPJ_01,JCORP Specialist Hospital,2024-07-11,Medical Ward,60,0,60,47,4,1,5,1,0,46,76.67,Normal,Bed Management System,True
BED000042,KPJ_01,JCORP Specialist Hospital,2024-07-11,Surgical Ward,55,0,55,42,4,1,5,1,1,40,72.73,Underutilised,Bed Management System,True
BED000043,KPJ_01,JCORP Specialist Hospital,2024-07-11,Maternity Ward,45,0,45,32,3,1,3,0,0,33,73.33,Underutilised,Bed Management System,True
BED000044,KPJ_01,JCORP Specialist Hospital,2024-07-11,Paediatric Ward,40,0,40,27,2,0,3,0,0,26,65.0,Underutilised,Bed Management System,True
BED000045,KPJ_01,JCORP Specialist Hospital,2024-07-12,Medical Ward,60,0,60,46,5,0,5,1,1,44,73.33,Underutilised,Bed Management System,True
BED000046,KPJ_01,JCORP Specialist Hospital,2024-07-12,Surgical Ward,55,3,52,40,5,0,5,1,1,38,73.08,Underutilised,Bed Management System,True
BED000047,KPJ_01,JCORP Specialist Hospital,2024-07-12,Maternity Ward,45,1,44,33,3,0,3,0,0,33,75.0,Normal,Bed Management System,True
BED000048,KPJ_01,JCORP Specialist Hospital,2024-07-12,Paediatric Ward,40,1,39,26,3,0,3,0,0,26,66.67,Underutilised,Bed Management System,True
BED000049,KPJ_01,JCORP Specialist Hospital,2024-07-13,Medical Ward,60,1,59,44,5,1,3,1,0,46,77.97,Normal,Bed Management System,True
BED000050,KPJ_01,JCORP Specialist Hospital,2024-07-13,Surgical Ward,55,0,55,38,4,1,3,0,0,40,72.73,Underutilised,Bed Management System,True
BED000051,KPJ_01,JCORP Specialist Hospital,2024-07-13,Maternity Ward,45,2,43,33,3,1,2,0,3,32,74.42,Underutilised,Bed Management System,True
BED000052,KPJ_01,JCORP Specialist Hospital,2024-07-13,Paediatric Ward,40,0,40,26,2,0,2,0,1,25,62.5,Underutilised,Bed Management System,True
BED000053,KPJ_01,JCORP Specialist Hospital,2024-07-14,Medical Ward,60,1,59,46,4,1,3,1,0,47,79.66,Normal,Bed Management System,True
BED000054,KPJ_01,JCORP Specialist Hospital,2024-07-14,Surgical Ward,55,0,55,40,3,1,3,1,0,40,72.73,Underutilised,Bed Management System,True
BED000055,KPJ_01,JCORP Specialist Hospital,2024-07-14,Maternity Ward,45,2,43,32,3,0,2,0,1,32,74.42,Underutilised,Bed Management System,True
BED000056,KPJ_01,JCORP Specialist Hospital,2024-07-14,Paediatric Ward,40,1,39,25,2,0,2,0,0,25,64.1,Underutilised,Bed Management System,True
BED000057,KPJ_01,JCORP Specialist Hospital,2024-07-15,Medical Ward,60,3,57,47,6,1,5,1,4,44,77.19,Normal,Bed Management System,True
BED000058,KPJ_01,JCORP Specialist Hospital,2024-07-15,Surgical Ward,55,1,54,40,5,0,4,1,0,40,74.07,Underutilised,Bed Management System,True
BED000059,KPJ_01,JCORP Specialist Hospital,2024-07-15,Maternity Ward,45,0,45,32,4,0,3,0,0,33,73.33,Underutilised,Bed Management System,True
BED000060,KPJ_01,JCORP Specialist Hospital,2024-07-15,Paediatric Ward,40,0,40,25,3,0,3,0,0,25,62.5,Underutilised,Bed Management System,True
BED000061,KPJ_01,JCORP Specialist Hospital,2024-07-16,Medical Ward,60,0,60,44,5,1,4,1,0,45,75.0,Normal,Bed Management System,True
BED000062,KPJ_01,JCORP Specialist Hospital,2024-07-16,Surgical Ward,55,2,53,40,4,0,3,0,0,41,77.36,Normal,Bed Management System,True
BED000063,KPJ_01,JCORP Specialist Hospital,2024-07-16,Maternity Ward,45,0,45,33,3,0,3,0,1,32,71.11,Underutilised,Bed Management System,True
BED000064,KPJ_01,JCORP Specialist Hospital,2024-07-16,Paediatric Ward,40,3,37,25,3,0,2,0,1,25,67.57,Underutilised,Bed Management System,True
BED000065,KPJ_01,JCORP Specialist Hospital,2024-07-17,Medical Ward,60,0,60,45,5,1,5,1,0,45,75.0,Normal,Bed Management System,True
BED000066,KPJ_01,JCORP Specialist Hospital,2024-07-17,Surgical Ward,55,0,55,41,5,0,4,1,0,41,74.55,Underutilised,Bed Management System,True
BED000067,KPJ_01,JCORP Specialist Hospital,2024-07-17,Maternity Ward,45,1,44,32,3,0,3,0,0,32,72.73,Underutilised,Bed Management System,True
BED000068,KPJ_01,JCORP Specialist Hospital,2024-07-17,Paediatric Ward,40,2,38,25,3,0,2,0,0,26,68.42,Underutilised,Bed Management System,True
BED000069,KPJ_01,JCORP Specialist Hospital,2024-07-18,Medical Ward,60,3,57,45,5,1,4,0,2,45,78.95,Normal,Bed Management System,True
BED000070,KPJ_01,JCORP Specialist Hospital,2024-07-18,Surgical Ward,55,0,55,41,4,1,4,0,0,42,76.36,Normal,Bed Management System,True
BED000071,KPJ_01,JCORP Specialist Hospital,2024-07-18,Maternity Ward,45,0,45,32,3,0,3,0,0,32,71.11,Underutilised,Bed Management System,True
BED000072,KPJ_01,JCORP Specialist Hospital,2024-07-18,Paediatric Ward,40,2,38,26,2,0,2,0,0,26,68.42,Underutilised,Bed Management System,True
BED000073,KPJ_01,JCORP Specialist Hospital,2024-07-19,Medical Ward,60,2,58,45,4,1,3,1,0,46,79.31,Normal,Bed Management System,True
BED000074,KPJ_01,JCORP Specialist Hospital,2024-07-19,Surgical Ward,55,1,54,42,4,1,2,1,2,42,77.78,Normal,Bed Management System,True
BED000075,KPJ_01,JCORP Specialist Hospital,2024-07-19,Maternity Ward,45,0,45,32,3,0,2,0,0,33,73.33,Underutilised,Bed Management System,True
BED000076,KPJ_01,JCORP Specialist Hospital,2024-07-19,Paediatric Ward,40,0,40,26,2,0,1,0,0,27,67.5,Underutilised,Bed Management System,True
BED000077,KPJ_01,JCORP Specialist Hospital,2024-07-20,Medical Ward,60,0,60,46,3,1,3,1,0,46,76.67,Normal,Bed Management System,True
BED000078,KPJ_01,JCORP Specialist Hospital,2024-07-20,Surgical Ward,55,1,54,42,3,0,3,1,0,41,75.93,Normal,Bed Management System,True
BED000079,KPJ_01,JCORP Specialist Hospital,2024-07-20,Maternity Ward,45,1,44,33,2,0,2,0,0,33,75.0,Normal,Bed Management System,True
BED000080,KPJ_01,JCORP Specialist Hospital,2024-07-20,Paediatric Ward,40,1,39,27,1,0,1,0,0,27,69.23,Underutilised,Bed Management System,True
BED000081,KPJ_01,JCORP Specialist Hospital,2024-07-21,Medical Ward,60,0,60,46,3,1,3,1,0,46,76.67,Normal,Bed Management System,True
BED000082,KPJ_01,JCORP Specialist Hospital,2024-07-21,Surgical Ward,55,1,54,41,2,1,3,1,0,40,74.07,Underutilised,Bed Management System,True
BED000083,KPJ_01,JCORP Specialist Hospital,2024-07-21,Maternity Ward,45,1,44,33,2,0,2,1,0,32,72.73,Underutilised,Bed Management System,True
BED000084,KPJ_01,JCORP Specialist Hospital,2024-07-21,Paediatric Ward,40,0,40,27,1,0,1,0,0,27,67.5,Underutilised,Bed Management System,True
BED000085,KPJ_01,JCORP Specialist Hospital,2024-07-22,Medical Ward,60,0,60,46,4,1,4,1,0,46,76.67,Normal,Bed Management System,True
BED000086,KPJ_01,JCORP Specialist Hospital,2024-07-22,Surgical Ward,55,0,55,40,3,1,3,1,0,40,72.73,Underutilised,Bed Management System,True
BED000087,KPJ_01,JCORP Specialist Hospital,2024-07-22,Maternity Ward,45,0,45,32,3,0,3,0,1,31,68.89,Underutilised,Bed Management System,True
BED000088,KPJ_01,JCORP Specialist Hospital,2024-07-22,Paediatric Ward,40,0,40,27,2,0,2,0,0,27,67.5,Underutilised,Bed Management System,True
BED000089,KPJ_01,JCORP Specialist Hospital,2024-07-23,Medical Ward,60,0,60,46,5,1,5,1,1,45,75.0,Normal,Bed Management System,True
BED000090,KPJ_01,JCORP Specialist Hospital,2024-07-23,Surgical Ward,55,0,55,40,4,1,5,1,0,39,70.91,Underutilised,Bed Management System,True
BED000091,KPJ_01,JCORP Specialist Hospital,2024-07-23,Maternity Ward,45,0,45,31,3,0,3,0,0,31,68.89,Underutilised,Bed Management System,True
BED000092,KPJ_01,JCORP Specialist Hospital,2024-07-23,Paediatric Ward,40,0,40,27,2,0,3,0,0,26,65.0,Underutilised,Bed Management System,True
BED000093,KPJ_01,JCORP Specialist Hospital,2024-07-24,Medical Ward,60,0,60,45,5,1,6,1,0,44,73.33,Underutilised,Bed Management System,True
BED000094,KPJ_01,JCORP Specialist Hospital,2024-07-24,Surgical Ward,55,0,55,39,5,1,5,1,0,39,70.91,Underutilised,Bed Management System,True
BED000095,KPJ_01,JCORP Specialist Hospital,2024-07-24,Maternity Ward,45,0,45,31,3,0,3,0,0,31,68.89,Underutilised,Bed Management System,True
BED000096,KPJ_01,JCORP Specialist Hospital,2024-07-24,Paediatric Ward,40,0,40,26,3,0,3,0,0,26,65.0,Underutilised,Bed Management System,True
BED000097,KPJ_01,JCORP Specialist Hospital,2024-07-25,Medical Ward,60,0,60,44,6,1,5,1,0,45,75.0,Normal,Bed Management System,True
BED000098,KPJ_01,JCORP Specialist Hospital,2024-07-25,Surgical Ward,55,0,55,39,5,0,5,0,0,39,70.91,Underutilised,Bed Management System,True
BED000099,KPJ_01,JCORP Specialist Hospital,2024-07-25,Maternity Ward,45,0,45,31,4,0,3,0,0,32,71.11,Underutilised,Bed Management System,True
BED000100,KPJ_01,JCORP Specialist Hospital,2024-07-25,Paediatric Ward,40,0,40,26,3,0,3,0,0,26,65.0,Underutilised,Bed Management System,True
BED000101,KPJ_01,JCORP Specialist Hospital,2024-07-26,Medical Ward,60,1,59,45,4,1,4,1,1,44,74.58,Underutilised,Bed Management System,True
BED000102,KPJ_01,JCORP Specialist Hospital,2024-07-26,Surgical Ward,55,0,55,39,3,1,3,0,0,40,72.73,Underutilised,Bed Management System,True
BED000103,KPJ_01,JCORP Specialist Hospital,2024-07-26,Maternity Ward,45,0,45,32,3,0,2,0,0,33,73.33,Underutilised,Bed Management System,True
BED000104,KPJ_01,JCORP Specialist Hospital,2024-07-26,Paediatric Ward,40,0,40,26,2,0,2,0,0,26,65.0,Underutilised,Bed Management System,True
BED000105,KPJ_01,JCORP Specialist Hospital,2024-07-27,Medical Ward,60,1,59,44,5,1,5,1,0,44,74.58,Underutilised,Bed Management System,True
BED000106,KPJ_01,JCORP Specialist Hospital,2024-07-27,Surgical Ward,55,1,54,40,5,0,5,0,0,40,74.07,Underutilised,Bed Management System,True
BED000107,KPJ_01,JCORP Specialist Hospital,2024-07-27,Maternity Ward,45,0,45,33,3,0,3,0,0,33,73.33,Underutilised,Bed Management System,True
BED000108,KPJ_01,JCORP Specialist Hospital,2024-07-27,Paediatric Ward,40,0,40,26,3,0,3,0,1,25,62.5,Underutilised,Bed Management System,True
BED000109,KPJ_01,JCORP Specialist Hospital,2024-07-28,Medical Ward,60,0,60,44,4,0,4,1,0,43,71.67,Underutilised,Bed Management System,True
BED000110,KPJ_01,JCORP Specialist Hospital,2024-07-28,Surgical Ward,55,1,54,40,3,0,3,1,0,39,72.22,Underutilised,Bed Management System,True
BED000111,KPJ_01,JCORP Specialist Hospital,2024-07-28,Maternity Ward,45,0,45,33,3,0,2,1,0,33,73.33,Underutilised,Bed Management System,True
BED000112,KPJ_01,JCORP Specialist Hospital,2024-07-28,Paediatric Ward,40,2,38,25,2,0,2,0,0,25,65.79,Underutilised,Bed Management System,True
BED000113,KPJ_01,JCORP Specialist Hospital,2024-07-29,Medical Ward,60,0,60,43,5,1,4,0,0,45,75.0,Normal,Bed Management System,True
BED000114,KPJ_01,JCORP Specialist Hospital,2024-07-29,Surgical Ward,55,0,55,39,5,1,3,0,0,42,76.36,Normal,Bed Management System,True
BED000115,KPJ_01,JCORP Specialist Hospital,2024-07-29,Maternity Ward,45,1,44,33,3,0,2,0,1,33,75.0,Normal,Bed Management System,True
BED000116,KPJ_01,JCORP Specialist Hospital,2024-07-29,Paediatric Ward,40,0,40,25,3,0,2,0,0,26,65.0,Underutilised,Bed Management System,True
BED000117,KPJ_01,JCORP Specialist Hospital,2024-07-30,Medical Ward,60,0,60,45,5,1,5,1,0,45,75.0,Normal,Bed Management System,True
BED000118,KPJ_01,JCORP Specialist Hospital,2024-07-30,Surgical Ward,55,0,55,42,5,1,4,0,1,43,78.18,Normal,Bed Management System,True
BED000119,KPJ_01,JCORP Specialist Hospital,2024-07-30,Maternity Ward,45,0,45,33,3,0,3,0,0,33,73.33,Underutilised,Bed Management System,True
BED000120,KPJ_01,JCORP Specialist Hospital,2024-07-30,Paediatric Ward,40,1,39,26,3,0,3,0,1,25,64.1,Underutilised,Bed Management System,True
BED000121,KPJ_01,JCORP Specialist Hospital,2024-07-31,Medical Ward,60,0,60,45,6,0,7,1,0,43,71.67,Underutilised,Bed Management System,True
BED000122,KPJ_01,JCORP Specialist Hospital,2024-07-31,Surgical Ward,55,0,55,43,5,0,6,1,0,41,74.55,Underutilised,Bed Management System,True
BED000123,KPJ_01,JCORP Specialist Hospital,2024-07-31,Maternity Ward,45,0,45,33,4,0,4,1,0,32,71.11,Underutilised,Bed Management System,True
BED000124,KPJ_01,JCORP Specialist Hospital,2024-07-31,Paediatric Ward,40,0,40,25,3,0,3,0,0,25,62.5,Underutilised,Bed Management System,True
BED000125,KPJ_01,JCORP Specialist Hospital,2024-08-01,Medical Ward,60,0,60,43,5,1,5,1,1,42,70.0,Underutilised,Bed Management System,True
BED000126,KPJ_01,JCORP Specialist Hospital,2024-08-01,Surgical Ward,55,0,55,41,4,0,4,1,0,40,72.73,Underutilised,Bed Management System,True
BED000127,KPJ_01,JCORP Specialist Hospital,2024-08-01,Maternity Ward,45,0,45,32,3,0,3,0,0,32,71.11,Underutilised,Bed Management System,True
BED000128,KPJ_01,JCORP Specialist Hospital,2024-08-01,Paediatric Ward,40,2,38,25,3,0,3,0,1,24,63.16,Underutilised,Bed Management System,True
BED000129,KPJ_01,JCORP Specialist Hospital,2024-08-02,Medical Ward,60,0,60,42,5,1,5,0,0,43,71.67,Underutilised,Bed Management System,True
BED000130,KPJ_01,JCORP Specialist Hospital,2024-08-02,Surgical Ward,55,0,55,40,4,1,4,0,0,41,74.55,Underutilised,Bed Management System,True
BED000131,KPJ_01,JCORP Specialist Hospital,2024-08-02,Maternity Ward,45,2,43,32,3,1,3,0,0,33,76.74,Normal,Bed Management System,True
BED000132,KPJ_01,JCORP Specialist Hospital,2024-08-02,Paediatric Ward,40,0,40,24,2,0,3,0,1,22,55.0,Underutilised,Bed Management System,True
BED000133,KPJ_01,JCORP Specialist Hospital,2024-08-03,Medical Ward,60,0,60,43,6,1,6,1,0,43,71.67,Underutilised,Bed Management System,True
BED000134,KPJ_01,JCORP Specialist Hospital,2024-08-03,Surgical Ward,55,0,55,41,5,1,5,1,0,41,74.55,Underutilised,Bed Management System,True
BED000135,KPJ_01,JCORP Specialist Hospital,2024-08-03,Maternity Ward,45,0,45,33,3,0,3,0,0,33,73.33,Underutilised,Bed Management System,True
BED000136,KPJ_01,JCORP Specialist Hospital,2024-08-03,Paediatric Ward,40,0,40,22,3,0,3,0,0,22,55.0,Underutilised,Bed Management System,True
BED000137,KPJ_01,JCORP Specialist Hospital,2024-08-04,Medical Ward,60,0,60,43,4,1,3,1,0,44,73.33,Underutilised,Bed Management System,True
BED000138,KPJ_01,JCORP Specialist Hospital,2024-08-04,Surgical Ward,55,0,55,41,4,1,3,1,0,42,76.36,Normal,Bed Management System,True
BED000139,KPJ_01,JCORP Specialist Hospital,2024-08-04,Maternity Ward,45,0,45,33,3,0,2,1,0,33,73.33,Underutilised,Bed Management System,True
BED000140,KPJ_01,JCORP Specialist Hospital,2024-08-04,Paediatric Ward,40,0,40,22,2,0,2,0,1,21,52.5,Underutilised,Bed Management System,True
BED000141,KPJ_01,JCORP Specialist Hospital,2024-08-05,Medical Ward,60,0,60,44,4,1,4,1,0,44,73.33,Underutilised,Bed Management System,True
BED000142,KPJ_01,JCORP Specialist Hospital,2024-08-05,Surgical Ward,55,1,54,42,4,1,3,0,1,43,79.63,Normal,Bed Management System,True
BED000143,KPJ_01,JCORP Specialist Hospital,2024-08-05,Maternity Ward,45,2,43,33,3,1,2,0,2,33,76.74,Normal,Bed Management System,True
BED000144,KPJ_01,JCORP Specialist Hospital,2024-08-05,Paediatric Ward,40,3,37,21,2,1,2,0,0,22,59.46,Underutilised,Bed Management System,True
BED000145,KPJ_01,JCORP Specialist Hospital,2024-08-06,Medical Ward,60,0,60,44,5,1,6,1,0,43,71.67,Underutilised,Bed Management System,True
BED000146,KPJ_01,JCORP Specialist Hospital,2024-08-06,Surgical Ward,55,0,55,43,5,1,5,1,0,43,78.18,Normal,Bed Management System,True
BED000147,KPJ_01,JCORP Specialist Hospital,2024-08-06,Maternity Ward,45,2,43,33,3,0,3,1,0,32,74.42,Underutilised,Bed Management System,True
BED000148,KPJ_01,JCORP Specialist Hospital,2024-08-06,Paediatric Ward,40,0,40,22,3,0,3,0,0,22,55.0,Underutilised,Bed Management System,True
BED000149,KPJ_01,JCORP Specialist Hospital,2024-08-07,Medical Ward,60,2,58,43,5,1,6,1,0,42,72.41,Underutilised,Bed Management System,True
BED000150,KPJ_01,JCORP Specialist Hospital,2024-08-07,Surgical Ward,55,0,55,43,4,1,5,0,0,43,78.18,Normal,Bed Management System,True
BED000151,KPJ_01,JCORP Specialist Hospital,2024-08-07,Maternity Ward,45,0,45,32,3,0,4,0,0,31,68.89,Underutilised,Bed Management System,True
BED000152,KPJ_01,JCORP Specialist Hospital,2024-08-07,Paediatric Ward,40,0,40,22,3,0,3,0,0,22,55.0,Underutilised,Bed Management System,True
BED000153,KPJ_01,JCORP Specialist Hospital,2024-08-08,Medical Ward,60,2,58,42,5,1,5,1,0,42,72.41,Underutilised,Bed Management System,True
BED000154,KPJ_01,JCORP Specialist Hospital,2024-08-08,Surgical Ward,55,0,55,43,5,1,4,1,1,43,78.18,Normal,Bed Management System,True
BED000155,KPJ_01,JCORP Specialist Hospital,2024-08-08,Maternity Ward,45,0,45,31,3,1,3,0,0,32,71.11,Underutilised,Bed Management System,True
BED000156,KPJ_01,JCORP Specialist Hospital,2024-08-08,Paediatric Ward,40,0,40,22,3,0,3,0,0,22,55.0,Underutilised,Bed Management System,True
BED000157,KPJ_01,JCORP Specialist Hospital,2024-08-09,Medical Ward,60,1,59,42,4,1,4,1,0,42,71.19,Underutilised,Bed Management System,True
BED000158,KPJ_01,JCORP Specialist Hospital,2024-08-09,Surgical Ward,55,0,55,43,4,1,3,1,1,43,78.18,Normal,Bed Management System,True
BED000159,KPJ_01,JCORP Specialist Hospital,2024-08-09,Maternity Ward,45,0,45,32,3,0,3,0,0,32,71.11,Underutilised,Bed Management System,True
BED000160,KPJ_01,JCORP Specialist Hospital,2024-08-09,Paediatric Ward,40,1,39,22,2,0,2,0,0,22,56.41,Underutilised,Bed Management System,True
BED000161,KPJ_01,JCORP Specialist Hospital,2024-08-10,Medical Ward,60,0,60,42,4,1,3,1,0,43,71.67,Underutilised,Bed Management System,True
BED000162,KPJ_01,JCORP Specialist Hospital,2024-08-10,Surgical Ward,55,0,55,43,3,1,3,1,0,43,78.18,Normal,Bed Management System,True
BED000163,KPJ_01,JCORP Specialist Hospital,2024-08-10,Maternity Ward,45,0,45,32,2,0,2,0,0,32,71.11,Underutilised,Bed Management System,True
BED000164,KPJ_01,JCORP Specialist Hospital,2024-08-10,Paediatric Ward,40,0,40,22,2,0,2,0,0,22,55.0,Underutilised,Bed Management System,True
BED000165,KPJ_01,JCORP Specialist Hospital,2024-08-11,Medical Ward,60,1,59,43,5,1,4,0,0,45,76.27,Normal,Bed Management System,True
BED000166,KPJ_01,JCORP Specialist Hospital,2024-08-11,Surgical Ward,55,0,55,43,4,1,4,0,1,43,78.18,Normal,Bed Management System,True
BED000167,KPJ_01,JCORP Specialist Hospital,2024-08-11,Maternity Ward,45,1,44,32,3,0,3,0,0,32,72.73,Underutilised,Bed Management System,True
BED000168,KPJ_01,JCORP Specialist Hospital,2024-08-11,Paediatric Ward,40,0,40,22,3,0,2,0,0,23,57.5,Underutilised,Bed Management System,True
BED000169,KPJ_01,JCORP Specialist Hospital,2024-08-12,Medical Ward,60,2,58,45,5,1,5,0,0,46,79.31,Normal,Bed Management System,True
BED000170,KPJ_01,JCORP Specialist Hospital,2024-08-12,Surgical Ward,55,0,55,43,5,1,4,0,2,43,78.18,Normal,Bed Management System,True
BED000171,KPJ_01,JCORP Specialist Hospital,2024-08-12,Maternity Ward,45,1,44,32,3,0,3,0,0,32,72.73,Underutilised,Bed Management System,True
BED000172,KPJ_01,JCORP Specialist Hospital,2024-08-12,Paediatric Ward,40,0,40,23,3,0,3,0,0,23,57.5,Underutilised,Bed Management System,True
BED000173,KPJ_01,JCORP Specialist Hospital,2024-08-13,Medical Ward,60,1,59,46,4,1,3,1,0,47,79.66,Normal,Bed Management System,True
BED000174,KPJ_01,JCORP Specialist Hospital,2024-08-13,Surgical Ward,55,1,54,43,4,1,3,1,1,43,79.63,Normal,Bed Management System,True
BED000175,KPJ_01,JCORP Specialist Hospital,2024-08-13,Maternity Ward,45,2,43,32,3,1,2,0,1,33,76.74,Normal,Bed Management System,True
