encounter_record_id,hospital_id,hospital_name,encounter_date,service_area,encounter_type,patient_encounters,queue_eligible_encounters,survey_eligible_encounters,admissions,discharges,transfers_in,transfers_out,source_system,synthetic_flag
EN000086,KPJ_01,JCORP Specialist Hospital,2024-07-29,Outpatient Department,Outpatient,315,305,228,0,0,0,0,Hospital Information System,True
EN000087,KPJ_01,JCORP Specialist Hospital,2024-07-29,Inpatient Wards,Inpatient,83,0,43,16,11,2,0,Hospital Information System,True
EN000088,KPJ_01,JCORP Specialist Hospital,2024-07-30,Emergency Department,Emergency,161,147,59,0,0,0,0,Hospital Information System,True
EN000089,KPJ_01,JCORP Specialist Hospital,2024-07-30,Outpatient Department,Outpatient,287,267,225,0,0,0,0,Hospital Information System,True
EN000090,KPJ_01,JCORP Specialist Hospital,2024-07-30,Inpatient Wards,Inpatient,83,0,44,16,15,2,1,Hospital Information System,True
EN000091,KPJ_01,JCORP Specialist Hospital,2024-07-31,Emergency Department,Emergency,157,140,57,0,0,0,0,Hospital Information System,True
EN000092,KPJ_01,JCORP Specialist Hospital,2024-07-31,Outpatient Department,Outpatient,355,336,283,0,0,0,0,Hospital Information System,True
EN000093,KPJ_01,JCORP Specialist Hospital,2024-07-31,Inpatient Wards,Inpatient,75,0,41,18,20,0,3,Hospital Information System,True
EN000094,KPJ_01,JCORP Specialist Hospital,2024-08-01,Emergency Department,Emergency,144,132,45,0,0,0,0,Hospital Information System,True
EN000095,KPJ_01,JCORP Specialist Hospital,2024-08-01,Outpatient Department,Outpatient,311,291,234,0,0,0,0,Hospital Information System,True
EN000096,KPJ_01,JCORP Specialist Hospital,2024-08-01,Inpatient Wards,Inpatient,93,0,53,15,15,1,2,Hospital Information System,True
EN000097,KPJ_01,JCORP Specialist Hospital,2024-08-02,Emergency Department,Emergency,162,145,50,0,0,0,0,Hospital Information System,True
EN000098,KPJ_01,JCORP Specialist Hospital,2024-08-02,Outpatient Department,Outpatient,298,279,221,0,0,0,0,Hospital Information System,True
EN000099,KPJ_01,JCORP Specialist Hospital,2024-08-02,Inpatient Wards,Inpatient,88,0,44,14,15,3,0,Hospital Information System,True
EN000100,KPJ_01,JCORP Specialist Hospital,2024-08-03,Emergency Department,Emergency,206,191,63,0,0,0,0,Hospital Information System,True
EN000101,KPJ_01,JCORP Specialist Hospital,2024-08-03,Outpatient Department,Outpatient,117,108,92,0,0,0,0,Hospital Information System,True
EN000102,KPJ_01,JCORP Specialist Hospital,2024-08-03,Inpatient Wards,Inpatient,79,0,44,17,17,2,2,Hospital Information System,True
EN000103,KPJ_01,JCORP Specialist Hospital,2024-08-04,Emergency Department,Emergency,174,161,68,0,0,0,0,Hospital Information System,True
EN000104,KPJ_01,JCORP Specialist Hospital,2024-08-04,Outpatient Department,Outpatient,121,113,91,0,0,0,0,Hospital Information System,True
EN000105,KPJ_01,JCORP Specialist Hospital,2024-08-04,Inpatient Wards,Inpatient,86,0,48,13,10,2,3,Hospital Information System,True
EN000106,KPJ_01,JCORP Specialist Hospital,2024-08-05,Emergency Department,Emergency,172,157,61,0,0,0,0,Hospital Information System,True
EN000107,KPJ_01,JCORP Specialist Hospital,2024-08-05,Outpatient Department,Outpatient,323,309,253,0,0,0,0,Hospital Information System,True
EN000108,KPJ_01,JCORP Specialist Hospital,2024-08-05,Inpatient Wards,Inpatient,77,0,46,13,11,4,1,Hospital Information System,True
EN000109,KPJ_01,JCORP Specialist Hospital,2024-08-06,Emergency Department,Emergency,169,159,56,0,0,0,0,Hospital Information System,True
EN000110,KPJ_01,JCORP Specialist Hospital,2024-08-06,Outpatient Department,Outpatient,319,302,230,0,0,0,0,Hospital Information System,True
EN000111,KPJ_01,JCORP Specialist Hospital,2024-08-06,Inpatient Wards,Inpatient,84,0,47,16,17,2,3,Hospital Information System,True
EN000112,KPJ_01,JCORP Specialist Hospital,2024-08-07,Emergency Department,Emergency,171,161,66,0,0,0,0,Hospital Information System,True
EN000113,KPJ_01,JCORP Specialist Hospital,2024-08-07,Outpatient Department,Outpatient,326,306,254,0,0,0,0,Hospital Information System,True
EN000114,KPJ_01,JCORP Specialist Hospital,2024-08-07,Inpatient Wards,Inpatient,91,0,46,15,18,2,1,Hospital Information System,True
EN000115,KPJ_01,JCORP Specialist Hospital,2024-08-08,Emergency Department,Emergency,152,140,52,0,0,0,0,Hospital Information System,True
EN000116,KPJ_01,JCORP Specialist Hospital,2024-08-08,Outpatient Department,Outpatient,288,272,213,0,0,0,0,Hospital Information System,True
EN000117,KPJ_01,JCORP Specialist Hospital,2024-08-08,Inpatient Wards,Inpatient,81,0,45,16,15,3,2,Hospital Information System,True
EN000118,KPJ_01,JCORP Specialist Hospital,2024-08-09,Emergency Department,Emergency,150,135,54,0,0,0,0,Hospital Information System,True
EN000119,KPJ_01,JCORP Specialist Hospital,2024-08-09,Outpatient Department,Outpatient,359,337,261,0,0,0,0,Hospital Information System,True
EN000120,KPJ_01,JCORP Specialist Hospital,2024-08-09,Inpatient Wards,Inpatient,83,0,42,13,12,2,2,Hospital Information System,True
EN000121,KPJ_01,JCORP Specialist Hospital,2024-08-10,Emergency Department,Emergency,171,154,63,0,0,0,0,Hospital Information System,True
EN000122,KPJ_01,JCORP Specialist Hospital,2024-08-10,Outpatient Department,Outpatient,108,100,85,0,0,0,0,Hospital Information System,True
EN000123,KPJ_01,JCORP Specialist Hospital,2024-08-10,Inpatient Wards,Inpatient,68,0,40,11,10,2,2,Hospital Information System,True
EN000124,KPJ_01,JCORP Specialist Hospital,2024-08-11,Emergency Department,Emergency,174,156,57,0,0,0,0,Hospital Information System,True
EN000125,KPJ_01,JCORP Specialist Hospital,2024-08-11,Outpatient Department,Outpatient,130,126,94,0,0,0,0,Hospital Information System,True
EN000126,KPJ_01,JCORP Specialist Hospital,2024-08-11,Inpatient Wards,Inpatient,86,0,47,15,13,2,0,Hospital Information System,True
EN000127,KPJ_01,JCORP Specialist Hospital,2024-08-12,Emergency Department,Emergency,164,149,58,0,0,0,0,Hospital Information System,True
EN000128,KPJ_01,JCORP Specialist Hospital,2024-08-12,Outpatient Department,Outpatient,377,354,271,0,0,0,0,Hospital Information System,True
EN000129,KPJ_01,JCORP Specialist Hospital,2024-08-12,Inpatient Wards,Inpatient,81,0,41,16,15,2,0,Hospital Information System,True
EN000130,KPJ_01,JCORP Specialist Hospital,2024-08-13,Emergency Department,Emergency,148,135,56,0,0,0,0,Hospital Information System,True
EN000131,KPJ_01,JCORP Specialist Hospital,2024-08-13,Outpatient Department,Outpatient,338,315,265,0,0,0,0,Hospital Information System,True
EN000132,KPJ_01,JCORP Specialist Hospital,2024-08-13,Inpatient Wards,Inpatient,86,0,51,13,10,3,2,Hospital Information System,True
EN000133,KPJ_01,JCORP Specialist Hospital,2024-08-14,Emergency Department,Emergency,167,151,53,0,0,0,0,Hospital Information System,True
EN000134,KPJ_01,JCORP Specialist Hospital,2024-08-14,Outpatient Department,Outpatient,299,276,233,0,0,0,0,Hospital Information System,True
EN000135,KPJ_01,JCORP Specialist Hospital,2024-08-14,Inpatient Wards,Inpatient,82,0,46,18,16,2,1,Hospital Information System,True
EN000136,KPJ_01,JCORP Specialist Hospital,2024-08-15,Emergency Department,Emergency,169,151,63,0,0,0,0,Hospital Information System,True
EN000137,KPJ_01,JCORP Specialist Hospital,2024-08-15,Outpatient Department,Outpatient,300,279,214,0,0,0,0,Hospital Information System,True
EN000138,KPJ_01,JCORP Specialist Hospital,2024-08-15,Inpatient Wards,Inpatient,81,0,48,12,12,2,2,Hospital Information System,True
EN000139,KPJ_01,JCORP Specialist Hospital,2024-08-16,Emergency Department,Emergency,151,139,49,0,0,0,0,Hospital Information System,True
EN000140,KPJ_01,JCORP Specialist Hospital,2024-08-16,Outpatient Department,Outpatient,327,306,255,0,0,0,0,Hospital Information System,True
EN000141,KPJ_01,JCORP Specialist Hospital,2024-08-16,Inpatient Wards,Inpatient,99,0,58,19,20,1,1,Hospital Information System,True
EN000142,KPJ_01,JCORP Specialist Hospital,2024-08-17,Emergency Department,Emergency,152,142,47,0,0,0,0,Hospital Information System,True
EN000143,KPJ_01,JCORP Specialist Hospital,2024-08-17,Outpatient Department,Outpatient,130,123,97,0,0,0,0,Hospital Information System,True
EN000144,KPJ_01,JCORP Specialist Hospital,2024-08-17,Inpatient Wards,Inpatient,79,0,40,17,13,3,3,Hospital Information System,True
EN000145,KPJ_01,JCORP Specialist Hospital,2024-08-18,Emergency Department,Emergency,161,146,48,0,0,0,0,Hospital Information System,True
EN000146,KPJ_01,JCORP Specialist Hospital,2024-08-18,Outpatient Department,Outpatient,130,120,96,0,0,0,0,Hospital Information System,True
EN000147,KPJ_01,JCORP Specialist Hospital,2024-08-18,Inpatient Wards,Inpatient,72,0,42,7,7,3,3,Hospital Information System,True
EN000148,KPJ_01,JCORP Specialist Hospital,2024-08-19,Emergency Department,Emergency,156,143,60,0,0,0,0,Hospital Information System,True
EN000149,KPJ_01,JCORP Specialist Hospital,2024-08-19,Outpatient Department,Outpatient,347,332,250,0,0,0,0,Hospital Information System,True
EN000150,KPJ_01,JCORP Specialist Hospital,2024-08-19,Inpatient Wards,Inpatient,92,0,52,14,17,1,2,Hospital Information System,True
EN000151,KPJ_01,JCORP Specialist Hospital,2024-08-20,Emergency Department,Emergency,148,135,55,0,0,0,0,Hospital Information System,True
EN000152,KPJ_01,JCORP Specialist Hospital,2024-08-20,Outpatient Department,Outpatient,315,299,235,0,0,0,0,Hospital Information System,True
EN000153,KPJ_01,JCORP Specialist Hospital,2024-08-20,Inpatient Wards,Inpatient,81,0,41,11,12,3,3,Hospital Information System,True
EN000154,KPJ_01,JCORP Specialist Hospital,2024-08-21,Emergency Department,Emergency,155,145,56,0,0,0,0,Hospital Information System,True
EN000155,KPJ_01,JCORP Specialist Hospital,2024-08-21,Outpatient Department,Outpatient,314,296,232,0,0,0,0,Hospital Information System,True
EN000156,KPJ_01,JCORP Specialist Hospital,2024-08-21,Inpatient Wards,Inpatient,86,0,51,16,15,3,1,Hospital Information System,True
EN000157,KPJ_01,JCORP Specialist Hospital,2024-08-22,Emergency Department,Emergency,153,137,47,0,0,0,0,Hospital Information System,True
EN000158,KPJ_01,JCORP Specialist Hospital,2024-08-22,Outpatient Department,Outpatient,317,295,243,0,0,0,0,Hospital Information System,True
EN000159,KPJ_01,JCORP Specialist Hospital,2024-08-22,Inpatient Wards,Inpatient,89,0,46,17,14,2,1,Hospital Information System,True
EN000160,KPJ_01,JCORP Specialist Hospital,2024-08-23,Emergency Department,Emergency,162,148,64,0,0,0,0,Hospital Information System,True
EN000161,KPJ_01,JCORP Specialist Hospital,2024-08-23,Outpatient Department,Outpatient,355,344,281,0,0,0,0,Hospital Information System,True
EN000162,KPJ_01,JCORP Specialist Hospital,2024-08-23,Inpatient Wards,Inpatient,74,0,42,10,8,2,2,Hospital Information System,True
EN000163,KPJ_01,JCORP Specialist Hospital,2024-08-24,Emergency Department,Emergency,172,156,67,0,0,0,0,Hospital Information System,True
EN000164,KPJ_01,JCORP Specialist Hospital,2024-08-24,Outpatient Department,Outpatient,104,99,82,0,0,0,0,Hospital Information System,True
EN000165,KPJ_01,JCORP Specialist Hospital,2024-08-24,Inpatient Wards,Inpatient,71,0,38,16,13,2,1,Hospital Information System,True
EN000166,KPJ_01,JCORP Specialist Hospital,2024-08-25,Emergency Department,Emergency,176,164,64,0,0,0,0,Hospital Information System,True
EN000167,KPJ_01,JCORP Specialist Hospital,2024-08-25,Outpatient Department,Outpatient,107,102,85,0,0,0,0,Hospital Information System,True
EN000168,KPJ_01,JCORP Specialist Hospital,2024-08-25,Inpatient Wards,Inpatient,73,0,43,13,16,2,3,Hospital Information System,True
EN000169,KPJ_01,JCORP Specialist Hospital,2024-08-26,Emergency Department,Emergency,160,149,62,0,0,0,0,Hospital Information System,True
EN000170,KPJ_01,JCORP Specialist Hospital,2024-08-26,Outpatient Department,Outpatient,347,320,258,0,0,0,0,Hospital Information System,True
EN000171,KPJ_01,JCORP Specialist Hospital,2024-08-26,Inpatient Wards,Inpatient,89,0,51,14,16,1,0,Hospital Information System,True
EN000172,KPJ_01,JCORP Specialist Hospital,2024-08-27,Emergency Department,Emergency,141,128,56,0,0,0,0,Hospital Information System,True
EN000173,KPJ_01,JCORP Specialist Hospital,2024-08-27,Outpatient Department,Outpatient,318,298,231,0,0,0,0,Hospital Information System,True
EN000174,KPJ_01,JCORP Specialist Hospital,2024-08-27,Inpatient Wards,Inpatient,78,0,46,16,18,1,2,Hospital Information System,True
EN000175,KPJ_01,JCORP Specialist Hospital,2024-08-28,Emergency Department,Emergency,154,139,58,0,0,0,0,Hospital Information System,True
EN000176,KPJ_01,JCORP Specialist Hospital,2024-08-28,Outpatient Department,Outpatient,332,316,252,0,0,0,0,Hospital Information System,True
EN000177,KPJ_01,JCORP Specialist Hospital,2024-08-28,Inpatient Wards,Inpatient,82,0,47,15,11,3,2,Hospital Information System,True
EN000178,KPJ_01,JCORP Specialist Hospital,2024-08-29,Emergency Department,Emergency,159,144,50,0,0,0,0,Hospital Information System,True
EN000179,KPJ_01,JCORP Specialist Hospital,2024-08-29,Outpatient Department,Outpatient,352,335,248,0,0,0,0,Hospital Information System,True
EN000180,KPJ_01,JCORP Specialist Hospital,2024-08-29,Inpatient Wards,Inpatient,83,0,43,16,16,2,2,Hospital Information System,True
EN000181,KPJ_01,JCORP Specialist Hospital,2024-08-30,Emergency Department,Emergency,164,148,58,0,0,0,0,Hospital Information System,True
EN000182,KPJ_01,JCORP Specialist Hospital,2024-08-30,Outpatient Department,Outpatient,334,311,241,0,0,0,0,Hospital Information System,True
EN000183,KPJ_01,JCORP Specialist Hospital,2024-08-30,Inpatient Wards,Inpatient,74,0,40,12,14,1,2,Hospital Information System,True
EN000184,KPJ_01,JCORP Specialist Hospital,2024-08-31,Emergency Department,Emergency,171,153,65,0,0,0,0,Hospital Information System,True
EN000185,KPJ_01,JCORP Specialist Hospital,2024-08-31,Outpatient Department,Outpatient,133,126,94,0,0,0,0,Hospital Information System,True
EN000186,KPJ_01,JCORP Specialist Hospital,2024-08-31,Inpatient Wards,Inpatient,73,0,38,17,14,2,2,Hospital Information System,True
EN000187,KPJ_01,JCORP Specialist Hospital,2024-09-01,Emergency Department,Emergency,190,174,62,0,0,0,0,Hospital Information System,True
EN000188,KPJ_01,JCORP Specialist Hospital,2024-09-01,Outpatient Department,Outpatient,121,116,89,0,0,0,0,Hospital Information System,True
EN000189,KPJ_01,JCORP Specialist Hospital,2024-09-01,Inpatient Wards,Inpatient,69,0,38,12,14,0,2,Hospital Information System,True
EN000190,KPJ_01,JCORP Specialist Hospital,2024-09-02,Emergency Department,Emergency,168,154,67,0,0,0,0,Hospital Information System,True
EN000191,KPJ_01,JCORP Specialist Hospital,2024-09-02,Outpatient Department,Outpatient,339,314,265,0,0,0,0,Hospital Information System,True
EN000192,KPJ_01,JCORP Specialist Hospital,2024-09-02,Inpatient Wards,Inpatient,84,0,43,17,17,2,2,Hospital Information System,True
EN000193,KPJ_01,JCORP Specialist Hospital,2024-09-03,Emergency Department,Emergency,164,154,57,0,0,0,0,Hospital Information System,True
EN000194,KPJ_01,JCORP Specialist Hospital,2024-09-03,Outpatient Department,Outpatient,335,324,262,0,0,0,0,Hospital Information System,True
EN000195,KPJ_01,JCORP Specialist Hospital,2024-09-03,Inpatient Wards,Inpatient,90,0,47,16,14,1,0,Hospital Information System,True
EN000196,KPJ_01,JCORP Specialist Hospital,2024-09-04,Emergency Department,Emergency,141,127,46,0,0,0,0,Hospital Information System,True
EN000197,KPJ_01,JCORP Specialist Hospital,2024-09-04,Outpatient Department,Outpatient,290,268,209,0,0,0,0,Hospital Information System,True
EN000198,KPJ_01,JCORP Specialist Hospital,2024-09-04,Inpatient Wards,Inpatient,81,0,44,13,16,4,3,Hospital Information System,True
